SID,age,sex,prof,stud,MSI1,MSI2,MSI3,MSI4,MSI5,MSI6,MSI7,MSI8,MSI9,MSI10,MSI11,MSI12,MSI13,MSI14,MSI15,MSI16,MSI17,MSI18,OP1,OP2,OP3,OP4,OP5,OP6,OP7,OP8,OP9,OP10,gold,exp
10,20,1,1,5,7,2,4,7,6,7,7,6,6,4,6,6,6,7,6,5,2,2,6,6,4,7,4,2,3,4,4,4,96,2
11,22,1,1,3,7,7,4,7,5,7,7,7,3,7,3,7,4,7,6,6,3,4,7,7,7,6,4,4,2,6,5,3,101,2
12,26,2,1,2,6,2,2,7,5,7,4,7,3,6,2,4,3,7,2,6,5,2,7,7,7,4,4,2,1,5,2,5,80,2
13,25,1,1,2,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,6,6,3,7,7,7,1,6,2,1,7,2,4,118,2
14,29,1,1,2,7,7,4,7,7,7,7,4,4,2,3,7,6,6,5,6,5,3,5,4,7,5,2,2,1,5,4,2,97,2
15,20,1,1,2,7,1,5,7,7,7,7,7,5,5,6,7,7,7,7,6,5,2,1,1,1,3,1,1,1,1,5,1,105,2
16,21,1,1,5,7,1,7,7,7,7,7,7,5,6,7,7,7,5,7,6,5,3,7,7,7,7,7,5,5,3,3,1,108,2
17,20,1,1,2,7,6,1,7,7,7,7,7,7,6,7,7,2,7,6,6,6,4,7,7,4,5,2,6,1,3,2,2,107,2
18,31.5,1,1,2,7,1,2,7,7,7,7,4,4,4,4,4,4,4,4,4,4,4,7,7,5,3,6,5,3,7,6,2,82,2
19,23,1,1,2,6,4,6,7,7,6,7,5,6,5,7,6,7,3,6,4,6,6,2,1,2,1,3,3,2,3,6,4,104,2
20,24,2,1,2,6,1,1,6,2,6,7,5,1,4,6,7,2,7,1,6,6,2,1,2,6,1,2,1,2,1,1,1,76,2
21,29.5,1,1,2,6,4,6,7,7,7,7,7,5,7,7,7,7,7,7,6,1,1,5,7,7,7,4,5,4,5,7,1,106,2
22,28,2,1,2,1,2,3,1,1,1,2,7,7,6,7,7,4,7,5,6,6,1,3,1,1,3,3,4,4,4,6,2,74,2
23,24,2,1,6,5,4,5,5,3,4,5,6,7,3,5,7,6,4,5,5,2,3,3,4,6,1,2,1,1,3,5,4,84,2
24,35,1,1,2,3,2,2,6,6,6,5,7,2,2,2,3,5,4,2,6,6,2,2,4,5,2,2,4,2,4,1,5,71,2
25,29,1,1,2,5,3,3,6,6,6,6,6,5,4,6,7,3,5,6,6,6,2,3,6,6,3,3,3,3,5,6,5,91,2
26,34,1,1,6,3,2,2,3,5,7,7,5,4,4,4,7,4,2,4,7,5,1,4,2,5,4,1,2,3,1,1,2,76,2
27,25,2,1,3,4,3,3,7,5,7,7,7,4,6,6,6,7,6,4,3,4,1,4,4,6,6,5,5,2,7,4,4,90,2
28,26,2,1,2,3,6,7,5,7,7,7,7,7,7,7,6,2,7,7,6,6,2,5,7,4,2,3,2,1,1,1,1,106,2
29,24,1,1,3,7,6,5,7,7,7,7,7,6,5,7,6,5,7,7,6,5,6,6,6,6,4,5,5,2,5,3,3,113,2
30,31,1,1,3,1,3,1,1,1,7,7,7,3,7,6,7,7,7,5,6,6,5,1,1,1,7,1,3,7,5,4,4,87,2
31,28,2,1,2,6,4,3,4,4,5,5,6,4,5,6,6,4,6,3,4,3,1,5,5,6,3,3,2,2,5,2,3,79,2
32,28,2,1,3,7,7,7,7,7,7,4,7,7,7,7,7,1,1,7,5,2,2,7,4,3,2,7,4,2,7,4,2,99,2
